Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.36833333333333335,0.36971282820833723,0.36833333333333335,0.35420898083398084
Random Forest,0.3516666666666667,0.3490162110712016,0.3516666666666667,0.3461230101550266
Logistic Regression,0.3233333333333333,0.323030701754386,0.3233333333333333,0.32274975001732553
XGBoost,0.31833333333333336,0.3160065462696671,0.31833333333333336,0.31593235785163715
